=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Roanoke, VA [plumbing] = $2,300 (trust=90)
  SEED Roanoke, VA [electrical] = $2,400 (trust=90)
  SEED Roanoke, VA [solar] = $27,300 (trust=90)
  SEED Suffolk, VA [roofing] = $11,700 (trust=90)
  SEED Suffolk, VA [hvac] = $9,500 (trust=90)
  SEED Suffolk, VA [plumbing] = $2,400 (trust=90)
  SEED Suffolk, VA [electrical] = $2,500 (trust=90)
  SEED Suffolk, VA [solar] = $28,400 (trust=90)
  SEED Virginia Beach, VA [roofing] = $12,200 (trust=90)
  SEED Virginia Beach, VA [plumbing] = $2,600 (trust=90)
  SEED Virginia Beach, VA [electrical] = $2,600 (trust=90)
  SEED Virginia Beach, VA [solar] = $28,700 (trust=90)
  SEED Auburn, WA [roofing] = $15,700 (trust=90)
  SEED Auburn, WA [hvac] = $13,100 (trust=90)
  SEED Auburn, WA [plumbing] = $3,400 (trust=90)
  SEED Auburn, WA [electrical] = $3,600 (trust=90)
  SEED Auburn, WA [solar] = $40,300 (trust=90)
  SEED Bellevue, WA [roofing] = $15,700 (trust=90)
  SEED Bellevue, WA [hvac] = $13,100 (trust=90)
  SEED Bellevue, WA [plumbing] = $3,400 (trust=90)
  SEED Bellevue, WA [electrical] = $3,600 (trust=90)
  SEED Bellevue, WA [solar] = $40,300 (trust=90)
  SEED Bellingham, WA [roofing] = $14,300 (trust=90)
  SEED Bellingham, WA [hvac] = $11,600 (trust=90)
  SEED Bellingham, WA [plumbing] = $3,100 (trust=90)
  SEED Bellingham, WA [electrical] = $3,200 (trust=90)
  SEED Bellingham, WA [solar] = $36,100 (trust=90)
  SEED Bremerton, WA [roofing] = $14,400 (trust=90)
  SEED Bremerton, WA [hvac] = $11,400 (trust=90)
  SEED Bremerton, WA [plumbing] = $3,000 (trust=90)
  SEED Bremerton, WA [electrical] = $3,000 (trust=90)
  SEED Bremerton, WA [solar] = $33,900 (trust=90)
  SEED Burien, WA [roofing] = $15,700 (trust=90)
  SEED Burien, WA [hvac] = $13,100 (trust=90)
  SEED Burien, WA [plumbing] = $3,400 (trust=90)
  SEED Burien, WA [electrical] = $3,600 (trust=90)
  SEED Burien, WA [solar] = $40,300 (trust=90)
  SEED Edmonds, WA [roofing] = $15,700 (trust=90)
  SEED Edmonds, WA [hvac] = $13,100 (trust=90)
  SEED Edmonds, WA [plumbing] = $3,400 (trust=90)
  SEED Edmonds, WA [electrical] = $3,600 (trust=90)
  SEED Edmonds, WA [solar] = $40,300 (trust=90)
  SEED Everett, WA [roofing] = $15,700 (trust=90)
  SEED Everett, WA [hvac] = $13,100 (trust=90)
  SEED Everett, WA [plumbing] = $3,400 (trust=90)
  SEED Everett, WA [electrical] = $3,600 (trust=90)
  SEED Everett, WA [solar] = $40,300 (trust=90)
  SEED Federal Way, WA [roofing] = $15,700 (trust=90)
  SEED Federal Way, WA [hvac] = $13,100 (trust=90)
  SEED Federal Way, WA [plumbing] = $3,400 (trust=90)
  SEED Federal Way, WA [electrical] = $3,600 (trust=90)
  SEED Federal Way, WA [solar] = $40,300 (trust=90)
  SEED Kennewick, WA [roofing] = $14,800 (trust=90)
  SEED Kennewick, WA [hvac] = $12,300 (trust=90)
  SEED Kennewick, WA [plumbing] = $3,500 (trust=90)
  SEED Kennewick, WA [electrical] = $3,600 (trust=90)
  SEED Kennewick, WA [solar] = $39,700 (trust=90)
  SEED Kent, WA [roofing] = $15,700 (trust=90)
  SEED Kent, WA [hvac] = $13,100 (trust=90)
  SEED Kent, WA [plumbing] = $3,400 (trust=90)
  SEED Kent, WA [electrical] = $3,600 (trust=90)
  SEED Kent, WA [solar] = $40,300 (trust=90)
  SEED Kirkland, WA [roofing] = $15,700 (trust=90)
  SEED Kirkland, WA [hvac] = $13,100 (trust=90)
  SEED Kirkland, WA [plumbing] = $3,400 (trust=90)
  SEED Kirkland, WA [electrical] = $3,600 (trust=90)
  SEED Kirkland, WA [solar] = $40,300 (trust=90)
  SEED Lacey, WA [roofing] = $14,400 (trust=90)
  SEED Lacey, WA [hvac] = $11,800 (trust=90)
  SEED Lacey, WA [plumbing] = $3,100 (trust=90)
  SEED Lacey, WA [electrical] = $3,200 (trust=90)
  SEED Lacey, WA [solar] = $35,700 (trust=90)
  SEED Lakewood, WA [roofing] = $14,300 (trust=90)
  SEED Lakewood, WA [hvac] = $11,600 (trust=90)
  SEED Lakewood, WA [plumbing] = $3,100 (trust=90)
  SEED Lakewood, WA [electrical] = $3,200 (trust=90)
  SEED Lakewood, WA [solar] = $36,100 (trust=90)
... 700/739 cities processed (3327 seeded, 173 skipped)
  SEED Marysville, WA [roofing] = $15,700 (trust=90)
  SEED Marysville, WA [hvac] = $13,100 (trust=90)
  SEED Marysville, WA [plumbing] = $3,400 (trust=90)
  SEED Marysville, WA [electrical] = $3,600 (trust=90)
  SEED Marysville, WA [solar] = $40,300 (trust=90)
  SEED Olympia, WA [roofing] = $14,400 (trust=90)
  SEED Olympia, WA [hvac] = $11,800 (trust=90)
  SEED Olympia, WA [plumbing] = $3,100 (trust=90)
  SEED Olympia, WA [electrical] = $3,200 (trust=90)
  SEED Olympia, WA [solar] = $35,700 (trust=90)
  SEED Pasco, WA [roofing] = $14,300 (trust=90)
  SEED Pasco, WA [hvac] = $11,600 (trust=90)
  SEED Pasco, WA [plumbing] = $3,100 (trust=90)
  SEED Pasco, WA [electrical] = $3,200 (trust=90)
  SEED Pasco, WA [solar] = $36,100 (trust=90)
  SEED Puyallup, WA [roofing] = $15,700 (trust=90)
  SEED Puyallup, WA [hvac] = $13,100 (trust=90)
  SEED Puyallup, WA [plumbing] = $3,400 (trust=90)
  SEED Puyallup, WA [electrical] = $3,600 (trust=90)
  SEED Puyallup, WA [solar] = $40,300 (trust=90)
  SEED Redmond, WA [roofing] = $15,700 (trust=90)
  SEED Redmond, WA [hvac] = $13,100 (trust=90)
  SEED Redmond, WA [plumbing] = $3,400 (trust=90)
  SEED Redmond, WA [electrical] = $3,600 (trust=90)
  SEED Redmond, WA [solar] = $40,300 (trust=90)
  SEED Renton, WA [roofing] = $15,700 (trust=90)
  SEED Renton, WA [hvac] = $13,100 (trust=90)
  SEED Renton, WA [plumbing] = $3,400 (trust=90)
  SEED Renton, WA [electrical] = $3,600 (trust=90)
  SEED Renton, WA [solar] = $40,300 (trust=90)
  SEED Richland, WA [roofing] = $14,800 (trust=90)
  SEED Richland, WA [hvac] = $12,300 (trust=90)
  SEED Richland, WA [plumbing] = $3,500 (trust=90)
  SEED Richland, WA [electrical] = $3,600 (trust=90)
  SEED Richland, WA [solar] = $39,700 (trust=90)
  SEED Sammamish, WA [roofing] = $15,700 (trust=90)
  SEED Sammamish, WA [hvac] = $13,100 (trust=90)
  SEED Sammamish, WA [plumbing] = $3,400 (trust=90)
  SEED Sammamish, WA [electrical] = $3,600 (trust=90)
  SEED Sammamish, WA [solar] = $40,300 (trust=90)
  SEED Shoreline, WA [roofing] = $15,700 (trust=90)
  SEED Shoreline, WA [hvac] = $13,100 (trust=90)
  SEED Shoreline, WA [plumbing] = $3,400 (trust=90)
  SEED Shoreline, WA [electrical] = $3,600 (trust=90)
  SEED Shoreline, WA [solar] = $40,300 (trust=90)
  SEED Spokane, WA [roofing] = $13,800 (trust=90)
  SEED Spokane, WA [plumbing] = $2,900 (trust=90)
  SEED Spokane, WA [electrical] = $3,000 (trust=90)
  SEED Spokane, WA [solar] = $33,700 (trust=90)
  SEED Spokane Valley, WA [roofing] = $13,800 (trust=90)
  SEED Spokane Valley, WA [hvac] = $10,700 (trust=90)
  SEED Spokane Valley, WA [plumbing] = $2,900 (trust=90)
  SEED Spokane Valley, WA [electrical] = $3,000 (trust=90)
  SEED Spokane Valley, WA [solar] = $33,700 (trust=90)
  SEED Tacoma, WA [roofing] = $15,700 (trust=90)
  SEED Tacoma, WA [hvac] = $13,100 (trust=90)
  SEED Tacoma, WA [plumbing] = $3,400 (trust=90)
  SEED Tacoma, WA [electrical] = $3,600 (trust=90)
  SEED Tacoma, WA [solar] = $40,300 (trust=90)
  SEED Vancouver, WA [roofing] = $14,400 (trust=90)
  SEED Vancouver, WA [hvac] = $11,600 (trust=90)
  SEED Vancouver, WA [plumbing] = $3,500 (trust=90)
  SEED Vancouver, WA [electrical] = $3,600 (trust=90)
  SEED Vancouver, WA [solar] = $38,900 (trust=90)
  SEED Yakima, WA [roofing] = $13,700 (trust=90)
  SEED Yakima, WA [hvac] = $10,800 (trust=90)
  SEED Yakima, WA [plumbing] = $2,700 (trust=90)
  SEED Yakima, WA [electrical] = $3,000 (trust=90)
  SEED Yakima, WA [solar] = $33,200 (trust=90)
  SEED Charleston, WV [roofing] = $12,000 (trust=90)
  SEED Charleston, WV [hvac] = $9,200 (trust=90)
  SEED Charleston, WV [plumbing] = $2,200 (trust=90)
  SEED Charleston, WV [electrical] = $2,500 (trust=90)
  SEED Charleston, WV [solar] = $28,300 (trust=90)
  SEED Huntington, WV [roofing] = $11,300 (trust=90)
  SEED Huntington, WV [hvac] = $9,200 (trust=90)
  SEED Huntington, WV [plumbing] = $2,300 (trust=90)
  SEED Huntington, WV [electrical] = $2,500 (trust=90)
  SEED Huntington, WV [solar] = $27,900 (trust=90)
  SEED Appleton, WI [roofing] = $13,600 (trust=90)
  SEED Appleton, WI [hvac] = $10,400 (trust=90)
  SEED Appleton, WI [plumbing] = $3,100 (trust=90)
  SEED Appleton, WI [electrical] = $2,700 (trust=90)
  SEED Appleton, WI [solar] = $30,800 (trust=90)
  SEED Beloit, WI [roofing] = $12,600 (trust=90)
  SEED Beloit, WI [hvac] = $10,300 (trust=90)
  SEED Beloit, WI [plumbing] = $2,900 (trust=90)
  SEED Beloit, WI [electrical] = $3,000 (trust=90)
  SEED Beloit, WI [solar] = $33,700 (trust=90)
  SEED Brookfield, WI [roofing] = $13,400 (trust=90)
  SEED Brookfield, WI [hvac] = $10,900 (trust=90)
  SEED Brookfield, WI [plumbing] = $3,100 (trust=90)
  SEED Brookfield, WI [electrical] = $3,000 (trust=90)
  SEED Brookfield, WI [solar] = $33,400 (trust=90)
  SEED Eau Claire, WI [roofing] = $12,800 (trust=90)
  SEED Eau Claire, WI [hvac] = $10,500 (trust=90)
  SEED Eau Claire, WI [plumbing] = $3,000 (trust=90)
  SEED Eau Claire, WI [electrical] = $2,800 (trust=90)
  SEED Eau Claire, WI [solar] = $31,900 (trust=90)
  SEED Fond du Lac, WI [roofing] = $13,400 (trust=90)
  SEED Fond du Lac, WI [hvac] = $10,000 (trust=90)
  SEED Fond du Lac, WI [plumbing] = $2,900 (trust=90)
  SEED Fond du Lac, WI [electrical] = $2,900 (trust=90)
  SEED Fond du Lac, WI [solar] = $32,900 (trust=90)
  SEED Green Bay, WI [roofing] = $13,600 (trust=90)
  SEED Green Bay, WI [hvac] = $10,400 (trust=90)
  SEED Green Bay, WI [plumbing] = $3,000 (trust=90)
  SEED Green Bay, WI [electrical] = $2,800 (trust=90)
  SEED Green Bay, WI [solar] = $32,100 (trust=90)
  SEED Greenfield, WI [roofing] = $13,400 (trust=90)
  SEED Greenfield, WI [hvac] = $10,900 (trust=90)
  SEED Greenfield, WI [plumbing] = $3,100 (trust=90)
  SEED Greenfield, WI [electrical] = $3,000 (trust=90)
  SEED Greenfield, WI [solar] = $33,400 (trust=90)
  SEED Janesville, WI [roofing] = $12,600 (trust=90)
  SEED Janesville, WI [hvac] = $10,300 (trust=90)
  SEED Janesville, WI [plumbing] = $2,900 (trust=90)
  SEED Janesville, WI [electrical] = $3,000 (trust=90)
  SEED Janesville, WI [solar] = $33,700 (trust=90)
  SEED Kenosha, WI [roofing] = $13,300 (trust=90)
  SEED Kenosha, WI [hvac] = $10,600 (trust=90)
  SEED Kenosha, WI [plumbing] = $3,200 (trust=90)
  SEED Kenosha, WI [electrical] = $2,900 (trust=90)
  SEED Kenosha, WI [solar] = $32,900 (trust=90)
  SEED La Crosse, WI [roofing] = $13,100 (trust=90)
  SEED La Crosse, WI [hvac] = $10,100 (trust=90)
  SEED La Crosse, WI [plumbing] = $2,900 (trust=90)
  SEED La Crosse, WI [electrical] = $2,900 (trust=90)
  SEED La Crosse, WI [solar] = $32,400 (trust=90)
  SEED Madison, WI [roofing] = $13,800 (trust=90)
  SEED Madison, WI [hvac] = $11,000 (trust=90)
  SEED Madison, WI [plumbing] = $3,400 (trust=90)
  SEED Madison, WI [electrical] = $3,000 (trust=90)
  SEED Madison, WI [solar] = $33,400 (trust=90)
  SEED Milwaukee, WI [roofing] = $13,400 (trust=90)
  SEED Milwaukee, WI [plumbing] = $3,100 (trust=90)
  SEED Milwaukee, WI [electrical] = $3,000 (trust=90)
  SEED Milwaukee, WI [solar] = $33,400 (trust=90)
  SEED New Berlin, WI [roofing] = $13,400 (trust=90)
  SEED New Berlin, WI [hvac] = $10,900 (trust=90)
  SEED New Berlin, WI [plumbing] = $3,100 (trust=90)
  SEED New Berlin, WI [electrical] = $3,000 (trust=90)
  SEED New Berlin, WI [solar] = $33,400 (trust=90)
  SEED Oshkosh, WI [roofing] = $12,500 (trust=90)
  SEED Oshkosh, WI [hvac] = $10,100 (trust=90)
  SEED Oshkosh, WI [plumbing] = $3,000 (trust=90)
  SEED Oshkosh, WI [electrical] = $2,900 (trust=90)
  SEED Oshkosh, WI [solar] = $32,600 (trust=90)
  SEED Racine, WI [roofing] = $13,500 (trust=90)
  SEED Racine, WI [hvac] = $10,400 (trust=90)
  SEED Racine, WI [plumbing] = $2,900 (trust=90)
  SEED Racine, WI [electrical] = $3,000 (trust=90)
  SEED Racine, WI [solar] = $33,600 (trust=90)
  SEED Sheboygan, WI [roofing] = $12,500 (trust=90)
  SEED Sheboygan, WI [hvac] = $10,600 (trust=90)
  SEED Sheboygan, WI [plumbing] = $2,800 (trust=90)
  SEED Sheboygan, WI [electrical] = $2,900 (trust=90)
  SEED Sheboygan, WI [solar] = $32,300 (trust=90)
  SEED Waukesha, WI [roofing] = $13,400 (trust=90)
  SEED Waukesha, WI [hvac] = $10,900 (trust=90)
  SEED Waukesha, WI [plumbing] = $3,100 (trust=90)
  SEED Waukesha, WI [electrical] = $3,000 (trust=90)
  SEED Waukesha, WI [solar] = $33,400 (trust=90)
  SEED Wausau, WI [roofing] = $12,600 (trust=90)
  SEED Wausau, WI [hvac] = $10,200 (trust=90)
  SEED Wausau, WI [plumbing] = $3,000 (trust=90)
  SEED Wausau, WI [electrical] = $2,900 (trust=90)
  SEED Wausau, WI [solar] = $32,600 (trust=90)
  SEED Wauwatosa, WI [roofing] = $13,400 (trust=90)
  SEED Wauwatosa, WI [hvac] = $10,900 (trust=90)
  SEED Wauwatosa, WI [plumbing] = $3,100 (trust=90)
  SEED Wauwatosa, WI [electrical] = $3,000 (trust=90)
  SEED Wauwatosa, WI [solar] = $33,400 (trust=90)
  SEED West Allis, WI [roofing] = $13,400 (trust=90)
  SEED West Allis, WI [hvac] = $10,900 (trust=90)
  SEED West Allis, WI [plumbing] = $3,100 (trust=90)
  SEED West Allis, WI [electrical] = $3,000 (trust=90)
  SEED West Allis, WI [solar] = $33,400 (trust=90)
  SEED Casper, WY [roofing] = $11,800 (trust=90)
  SEED Casper, WY [hvac] = $9,800 (trust=90)
  SEED Casper, WY [plumbing] = $2,600 (trust=90)
  SEED Casper, WY [electrical] = $2,700 (trust=90)
  SEED Casper, WY [solar] = $29,800 (trust=90)
  SEED Cheyenne, WY [roofing] = $11,700 (trust=90)
  SEED Cheyenne, WY [hvac] = $9,700 (trust=90)
  SEED Cheyenne, WY [plumbing] = $2,600 (trust=90)
  SEED Cheyenne, WY [electrical] = $2,800 (trust=90)
  SEED Cheyenne, WY [solar] = $31,200 (trust=90)

--- Summary ---
Cities processed: 739
Seeded:           3515
Skipped (local):  10
Skipped (remote): 170
Errors:           0
Tracking file:    C:\Users\lanea\OneDrive\Desktop\TrueP Misc\trueprice\data\seeded-model-ids.json
Finished: Sun Apr  5 13:43:03 EDT 2026

=== PHASE 2: External sources (HomeAdvisor, Thumbtack, RepairPal, FairHealth) ===
Started: Sun Apr  5 13:43:03 EDT 2026
External Pricing Data Seeder
  Dry run:  false
  Source:   all
  Max:      200
  Cities:   20
  Tracking: C:\Users\lanea\OneDrive\Desktop\TrueP Misc\trueprice\data\seeded-external-ids.json
  Already seeded: 40 entries


=== HomeAdvisor/Angi Cost Guides ===

Fetching: https://www.homeadvisor.com/cost/roofing/install-a-roof/
  Found range: $5871 - $13228 (avg $9550)

Fetching: https://www.homeadvisor.com/cost/heating-and-cooling/install-an-hvac-system/
  BLOCKED (404) - skipping HomeAdvisor hvac

Fetching: https://www.homeadvisor.com/cost/plumbing/repair-plumbing/
  BLOCKED (404) - skipping HomeAdvisor plumbing

Fetching: https://www.homeadvisor.com/cost/electrical/hire-an-electrician/
  Found range: $163 - $538 (avg $351)

Fetching: https://www.homeadvisor.com/cost/alternative-energy/install-solar-panels/
  BLOCKED (404) - skipping HomeAdvisor solar

=== Thumbtack Price Estimates ===

Fetching: https://www.thumbtack.com/costs/roof-replacement/
  BLOCKED (202) - skipping Thumbtack roofing

Fetching: https://www.thumbtack.com/costs/hvac-repair/
  BLOCKED (202) - skipping Thumbtack hvac

Fetching: https://www.thumbtack.com/costs/plumbing-repair/
  BLOCKED (202) - skipping Thumbtack plumbing

Fetching: https://www.thumbtack.com/costs/electrician/
  BLOCKED (202) - skipping Thumbtack electrical

Fetching: https://www.thumbtack.com/costs/solar-panel-installation/
  BLOCKED (202) - skipping Thumbtack solar

=== RepairPal Auto Repair Estimates ===
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/75201
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Dallas
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/77001
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Houston
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/78701
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Austin
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/85001
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Phoenix
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/90001
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Los Angeles
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/60601
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Chicago
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/33101
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Miami
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/30301
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Atlanta
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/80201
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Denver
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/98101
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Seattle
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/10001
    BLOCKED (403) - skipping RepairPal auto-brake-repair for New York
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/02101
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Boston
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/28201
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Charlotte
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/37201
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Nashville
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/97201
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Portland
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/89101
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Las Vegas
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/55401
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Minneapolis
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/48201
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Detroit
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/33601
    BLOCKED (403) - skipping RepairPal auto-brake-repair for Tampa
  Fetching: https://repairpal.com/estimator/results/brake-pad-replacement/94101
    BLOCKED (403) - skipping RepairPal auto-brake-repair for San Francisco
  Fetching: https://repairpal.com/estimator/results/oil-change/75201
    BLOCKED (403) - skipping RepairPal auto-oil-change for Dallas
  Fetching: https://repairpal.com/estimator/results/oil-change/77001
    BLOCKED (403) - skipping RepairPal auto-oil-change for Houston
  Fetching: https://repairpal.com/estimator/results/oil-change/78701
    BLOCKED (403) - skipping RepairPal auto-oil-change for Austin
  Fetching: https://repairpal.com/estimator/results/oil-change/85001
    BLOCKED (403) - skipping RepairPal auto-oil-change for Phoenix
  Fetching: https://repairpal.com/estimator/results/oil-change/90001
    BLOCKED (403) - skipping RepairPal auto-oil-change for Los Angeles
  Fetching: https://repairpal.com/estimator/results/oil-change/60601
    BLOCKED (403) - skipping RepairPal auto-oil-change for Chicago
  Fetching: https://repairpal.com/estimator/results/oil-change/33101
    BLOCKED (403) - skipping RepairPal auto-oil-change for Miami
  Fetching: https://repairpal.com/estimator/results/oil-change/30301
    BLOCKED (403) - skipping RepairPal auto-oil-change for Atlanta
  Fetching: https://repairpal.com/estimator/results/oil-change/80201
    BLOCKED (403) - skipping RepairPal auto-oil-change for Denver
  Fetching: https://repairpal.com/estimator/results/oil-change/98101
    BLOCKED (403) - skipping RepairPal auto-oil-change for Seattle
  Fetching: https://repairpal.com/estimator/results/oil-change/10001
    BLOCKED (403) - skipping RepairPal auto-oil-change for New York
  Fetching: https://repairpal.com/estimator/results/oil-change/02101
    BLOCKED (403) - skipping RepairPal auto-oil-change for Boston
  Fetching: https://repairpal.com/estimator/results/oil-change/28201
    BLOCKED (403) - skipping RepairPal auto-oil-change for Charlotte
  Fetching: https://repairpal.com/estimator/results/oil-change/37201
    BLOCKED (403) - skipping RepairPal auto-oil-change for Nashville
  Fetching: https://repairpal.com/estimator/results/oil-change/97201
    BLOCKED (403) - skipping RepairPal auto-oil-change for Portland
  Fetching: https://repairpal.com/estimator/results/oil-change/89101
    BLOCKED (403) - skipping RepairPal auto-oil-change for Las Vegas
  Fetching: https://repairpal.com/estimator/results/oil-change/55401
    BLOCKED (403) - skipping RepairPal auto-oil-change for Minneapolis
  Fetching: https://repairpal.com/estimator/results/oil-change/48201
    BLOCKED (403) - skipping RepairPal auto-oil-change for Detroit
  Fetching: https://repairpal.com/estimator/results/oil-change/33601
    BLOCKED (403) - skipping RepairPal auto-oil-change for Tampa
  Fetching: https://repairpal.com/estimator/results/oil-change/94101
    BLOCKED (403) - skipping RepairPal auto-oil-change for San Francisco
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/75201
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Dallas
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/77001
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Houston
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/78701
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Austin
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/85001
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Phoenix
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/90001
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Los Angeles
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/60601
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Chicago
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/33101
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Miami
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/30301
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Atlanta
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/80201
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Denver
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/98101
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Seattle
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/10001
    BLOCKED (403) - skipping RepairPal auto-timing-belt for New York
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/02101
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Boston
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/28201
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Charlotte
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/37201
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Nashville
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/97201
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Portland
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/89101
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Las Vegas
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/55401
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Minneapolis
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/48201
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Detroit
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/33601
    BLOCKED (403) - skipping RepairPal auto-timing-belt for Tampa
  Fetching: https://repairpal.com/estimator/results/timing-belt-replacement/94101
    BLOCKED (403) - skipping RepairPal auto-timing-belt for San Francisco
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/75201
    BLOCKED (403) - skipping RepairPal auto-alternator for Dallas
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/77001
    BLOCKED (403) - skipping RepairPal auto-alternator for Houston
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/78701
    BLOCKED (403) - skipping RepairPal auto-alternator for Austin
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/85001
    BLOCKED (403) - skipping RepairPal auto-alternator for Phoenix
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/90001
    BLOCKED (403) - skipping RepairPal auto-alternator for Los Angeles
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/60601
    BLOCKED (403) - skipping RepairPal auto-alternator for Chicago
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/33101
    BLOCKED (403) - skipping RepairPal auto-alternator for Miami
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/30301
    BLOCKED (403) - skipping RepairPal auto-alternator for Atlanta
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/80201
    BLOCKED (403) - skipping RepairPal auto-alternator for Denver
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/98101
    BLOCKED (403) - skipping RepairPal auto-alternator for Seattle
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/10001
    BLOCKED (403) - skipping RepairPal auto-alternator for New York
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/02101
    BLOCKED (403) - skipping RepairPal auto-alternator for Boston
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/28201
    BLOCKED (403) - skipping RepairPal auto-alternator for Charlotte
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/37201
    BLOCKED (403) - skipping RepairPal auto-alternator for Nashville
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/97201
    BLOCKED (403) - skipping RepairPal auto-alternator for Portland
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/89101
    BLOCKED (403) - skipping RepairPal auto-alternator for Las Vegas
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/55401
    BLOCKED (403) - skipping RepairPal auto-alternator for Minneapolis
  Fetching: https://repairpal.com/estimator/results/alternator-replacement/48201
